Transaction_ID,Customer_ID,Product_ID,Date,Date 2,Quantity,Unit_Price,Total_Amount,Payment_Method,Channel,Month,Year,Number_of_Scoops
T00017,CUST031816,P043,2023-01-01,2023-01-01,3, $6.00 , $18.00 ,Tap to Pay,Email,1,2023,3
T00017,CUST011033,P043,2023-01-01,2023-01-01,3, $6.00 , $18.00 ,Credit Card,Mobile App,1,2023,3
T00018,CUST038149,P062,2023-01-01,2023-01-01,1, $7.00 , $7.00 ,Cash,None,1,2023,4
T00019,CUST014332,P016,2023-01-01,2023-01-01,3, $4.00 , $12.00 ,Tap to Pay,Social,1,2023,1
T00019,CUST029089,P029,2023-01-01,2023-01-01,1, $5.00 , $5.00 ,Credit Card,None,1,2023,2
T00019,CUST017152,P037,2023-01-01,2023-01-01,1, $6.50 , $6.50 ,Credit Card,Post Mail,1,2023,3
T00019,CUST036462,P003,2023-01-01,2023-01-01,3, $4.50 , $13.50 ,Credit Card,Post Mail,1,2023,1
T00020,CUST037777,P057,2023-01-01,2023-01-01,1, $7.00 , $7.00 ,Credit Card,None,1,2023,4
T00020,CUST029570,P015,2023-01-01,2023-01-01,3, $4.00 , $12.00 ,Cash,None,1,2023,1
T00020,CUST033041,P031,2023-01-01,2023-01-01,2, $5.00 , $10.00 ,Cash,Mobile App,1,2023,2
T00020,CUST011112,P029,2023-01-01,2023-01-01,3, $5.00 , $15.00 ,Cash,Social,1,2023,2
T00020,CUST017604,P045,2023-01-01,2023-01-01,3, $6.00 , $18.00 ,Credit Card,None,1,2023,3
T00021,CUST012728,P029,2023-01-01,2023-01-01,3, $5.00 , $15.00 ,Tap to Pay,Mobile App,1,2023,2
T00021,CUST022844,P053,2023-01-01,2023-01-01,2, $7.50 , $15.00 ,Credit Card,None,1,2023,4
T00021,CUST028182,P034,2023-01-01,2023-01-01,1, $6.50 , $6.50 ,Cash,Mobile App,1,2023,3
T00021,CUST022711,P039,2023-01-01,2023-01-01,2, $6.50 , $13.00 ,Cash,Mobile App,1,2023,3
T00022,CUST022708,P027,2023-01-01,2023-01-01,2, $5.00 , $10.00 ,Tap to Pay,None,1,2023,2
T00022,CUST028701,P005,2023-01-01,2023-01-01,3, $4.50 , $13.50 ,Credit Card,Email,1,2023,1
T00022,CUST014627,P050,2023-01-01,2023-01-01,2, $7.50 , $15.00 ,Cash,Mobile App,1,2023,4
T00022,CUST033253,P045,2023-01-01,2023-01-01,2, $6.00 , $12.00 ,Cash,Mobile App,1,2023,3
T00022,CUST016454,P011,2023-01-01,2023-01-01,1, $4.00 , $4.00 ,Credit Card,Post Mail,1,2023,1
T00023,CUST031296,P020,2023-01-01,2023-01-01,3, $5.50 , $16.50 ,Credit Card,None,1,2023,2
T00023,CUST033415,P037,2023-01-01,2023-01-01,3, $6.50 , $19.50 ,Credit Card,Email,1,2023,3
T00024,CUST035644,P006,2023-01-01,2023-01-01,3, $4.50 , $13.50 ,Cash,Post Mail,1,2023,1
T00024,CUST021138,P030,2023-01-01,2023-01-01,1, $5.00 , $5.00 ,Tap to Pay,Mobile App,1,2023,2
T00024,CUST029284,P027,2023-01-01,2023-01-01,2, $5.00 , $10.00 ,Cash,Social,1,2023,2
T00025,CUST034361,P027,2023-01-01,2023-01-01,2, $5.00 , $10.00 ,Tap to Pay,Post Mail,1,2023,2
T00025,CUST011975,P014,2023-01-01,2023-01-01,1, $4.00 , $4.00 ,Cash,Email,1,2023,1
T00026,CUST030047,P051,2023-01-01,2023-01-01,2, $7.50 , $15.00 ,Cash,Email,1,2023,4
T00027,CUST034568,P022,2023-01-01,2023-01-01,1, $5.50 , $5.50 ,Tap to Pay,Social,1,2023,2
T00028,CUST039497,P052,2023-01-01,2023-01-01,3, $7.50 , $22.50 ,Tap to Pay,Social,1,2023,4
T00029,CUST015338,P030,2023-01-01,2023-01-01,3, $5.00 , $15.00 ,Tap to Pay,Social,1,2023,2
T00029,CUST031754,P046,2023-01-01,2023-01-01,2, $6.00 , $12.00 ,Tap to Pay,Social,1,2023,3
T00029,CUST016436,P044,2023-01-01,2023-01-01,3, $6.00 , $18.00 ,Credit Card,Email,1,2023,3
T00029,CUST023853,P043,2023-01-01,2023-01-01,3, $6.00 , $18.00 ,Credit Card,Post Mail,1,2023,3
T00029,CUST036846,P014,2023-01-01,2023-01-01,2, $4.00 , $8.00 ,Cash,Post Mail,1,2023,1
T00030,CUST035790,P033,2023-01-02,2023-01-02,2, $6.50 , $13.00 ,Tap to Pay,Post Mail,1,2023,3
T00030,CUST023116,P014,2023-01-02,2023-01-02,2, $4.00 , $8.00 ,Cash,Mobile App,1,2023,1
T00030,CUST020440,P025,2023-01-02,2023-01-02,1, $5.00 , $5.00 ,Credit Card,Email,1,2023,2
T00030,CUST030039,P006,2023-01-02,2023-01-02,3, $4.50 , $13.50 ,Cash,None,1,2023,1
T00030,CUST013766,P005,2023-01-02,2023-01-02,1, $4.50 , $4.50 ,Tap to Pay,Mobile App,1,2023,1
T00031,CUST031161,P029,2023-01-02,2023-01-02,1, $5.00 , $5.00 ,Credit Card,Email,1,2023,2
T00031,CUST027983,P063,2023-01-02,2023-01-02,2, $7.00 , $14.00 ,Cash,Email,1,2023,4
T00031,CUST036746,P011,2023-01-02,2023-01-02,2, $4.00 , $8.00 ,Tap to Pay,Mobile App,1,2023,1
T00032,CUST033497,P010,2023-01-02,2023-01-02,3, $4.00 , $12.00 ,Credit Card,Email,1,2023,1
T00033,CUST013574,P042,2023-01-02,2023-01-02,3, $6.00 , $18.00 ,Tap to Pay,Email,1,2023,3
T00034,CUST022704,P063,2023-01-02,2023-01-02,2, $7.00 , $14.00 ,Credit Card,Email,1,2023,4
T00035,CUST036325,P043,2023-01-02,2023-01-02,1, $6.00 , $6.00 ,Cash,Post Mail,1,2023,3
T00035,CUST020059,P045,2023-01-02,2023-01-02,2, $6.00 , $12.00 ,Cash,Mobile App,1,2023,3
T00036,CUST022176,P060,2023-01-02,2023-01-02,3, $7.00 , $21.00 ,Credit Card,Social,1,2023,4
T00036,CUST014498,P042,2023-01-02,2023-01-02,2, $6.00 , $12.00 ,Tap to Pay,Email,1,2023,3
T00036,CUST031848,P031,2023-01-02,2023-01-02,2, $5.00 , $10.00 ,Credit Card,Social,1,2023,2
T00037,CUST034502,P022,2023-01-02,2023-01-02,1, $5.50 , $5.50 ,Credit Card,None,1,2023,2
T00037,CUST029438,P031,2023-01-02,2023-01-02,1, $5.00 , $5.00 ,Cash,None,1,2023,2
T00037,CUST018397,P061,2023-01-02,2023-01-02,2, $7.00 , $14.00 ,Tap to Pay,Mobile App,1,2023,4
T00038,CUST023978,P014,2023-01-02,2023-01-02,3, $4.00 , $12.00 ,Credit Card,Social,1,2023,1
T00038,CUST026123,P048,2023-01-02,2023-01-02,3, $6.00 , $18.00 ,Tap to Pay,Post Mail,1,2023,3
T00038,CUST033304,P010,2023-01-02,2023-01-02,3, $4.00 , $12.00 ,Credit Card,Social,1,2023,1
T00038,CUST037874,P032,2023-01-02,2023-01-02,3, $5.00 , $15.00 ,Cash,Email,1,2023,2
T00039,CUST028658,P043,2023-01-02,2023-01-02,3, $6.00 , $18.00 ,Credit Card,Social,1,2023,3
T00039,CUST027118,P036,2023-01-02,2023-01-02,2, $6.50 , $13.00 ,Tap to Pay,Social,1,2023,3
T00039,CUST038041,P010,2023-01-02,2023-01-02,3, $4.00 , $12.00 ,Credit Card,None,1,2023,1
T00040,CUST023797,P033,2023-01-02,2023-01-02,1, $6.50 , $6.50 ,Cash,None,1,2023,3
T00040,CUST029508,P061,2023-01-02,2023-01-02,2, $7.00 , $14.00 ,Credit Card,Social,1,2023,4
T00040,CUST012918,P055,2023-01-02,2023-01-02,1, $7.50 , $7.50 ,Cash,Mobile App,1,2023,4
T00040,CUST019609,P004,2023-01-02,2023-01-02,1, $4.50 , $4.50 ,Credit Card,Mobile App,1,2023,1
T00040,CUST019888,P046,2023-01-02,2023-01-02,1, $6.00 , $6.00 ,Cash,None,1,2023,3
T00041,CUST020411,P051,2023-01-02,2023-01-02,3, $7.50 , $22.50 ,Credit Card,Mobile App,1,2023,4
T00041,CUST037147,P033,2023-01-02,2023-01-02,1, $6.50 , $6.50 ,Cash,None,1,2023,3
T00041,CUST036346,P051,2023-01-02,2023-01-02,3, $7.50 , $22.50 ,Tap to Pay,None,1,2023,4
T00041,CUST031233,P030,2023-01-02,2023-01-02,2, $5.00 , $10.00 ,Credit Card,None,1,2023,2
T00041,CUST018204,P051,2023-01-02,2023-01-02,2, $7.50 , $15.00 ,Credit Card,Email,1,2023,4
T00042,CUST023427,P032,2023-01-02,2023-01-02,3, $5.00 , $15.00 ,Credit Card,Post Mail,1,2023,2
T00042,CUST022786,P053,2023-01-02,2023-01-02,2, $7.50 , $15.00 ,Tap to Pay,None,1,2023,4
T00042,CUST014284,P012,2023-01-02,2023-01-02,3, $4.00 , $12.00 ,Cash,Social,1,2023,1
T00042,CUST016511,P016,2023-01-02,2023-01-02,2, $4.00 , $8.00 ,Cash,Email,1,2023,1
T00043,CUST023563,P051,2023-01-02,2023-01-02,2, $7.50 , $15.00 ,Credit Card,Email,1,2023,4
T00043,CUST021840,P049,2023-01-02,2023-01-02,2, $7.50 , $15.00 ,Credit Card,None,1,2023,4
T00043,CUST034287,P031,2023-01-02,2023-01-02,1, $5.00 , $5.00 ,Credit Card,Post Mail,1,2023,2
T00043,CUST010030,P021,2023-01-02,2023-01-02,3, $5.50 , $16.50 ,Tap to Pay,Mobile App,1,2023,2
T00044,CUST023484,P010,2023-01-02,2023-01-02,3, $4.00 , $12.00 ,Cash,Social,1,2023,1
T00044,CUST024689,P057,2023-01-02,2023-01-02,3, $7.00 , $21.00 ,Tap to Pay,Email,1,2023,4
T00045,CUST030783,P058,2023-01-02,2023-01-02,2, $7.00 , $14.00 ,Cash,Post Mail,1,2023,4
T00045,CUST023894,P061,2023-01-02,2023-01-02,1, $7.00 , $7.00 ,Tap to Pay,Email,1,2023,4
T00045,CUST014999,P063,2023-01-02,2023-01-02,1, $7.00 , $7.00 ,Tap to Pay,None,1,2023,4
T00045,CUST020925,P013,2023-01-02,2023-01-02,2, $4.00 , $8.00 ,Credit Card,Email,1,2023,1
T00045,CUST023749,P001,2023-01-02,2023-01-02,3, $4.50 , $13.50 ,Tap to Pay,Social,1,2023,1
T00046,CUST028101,P048,2023-01-02,2023-01-02,3, $6.00 , $18.00 ,Cash,Post Mail,1,2023,3
T00046,CUST024118,P063,2023-01-02,2023-01-02,3, $7.00 , $21.00 ,Cash,Email,1,2023,4
T00046,CUST028143,P050,2023-01-02,2023-01-02,2, $7.50 , $15.00 ,Tap to Pay,Social,1,2023,4
T00046,CUST034672,P015,2023-01-02,2023-01-02,2, $4.00 , $8.00 ,Credit Card,None,1,2023,1
T00046,CUST017575,P009,2023-01-02,2023-01-02,1, $4.00 , $4.00 ,Tap to Pay,Social,1,2023,1
T00047,CUST010836,P035,2023-01-02,2023-01-02,1, $6.50 , $6.50 ,Tap to Pay,None,1,2023,3
T00047,CUST034650,P008,2023-01-02,2023-01-02,1, $4.50 , $4.50 ,Credit Card,Mobile App,1,2023,1
T00047,CUST031392,P060,2023-01-02,2023-01-02,1, $7.00 , $7.00 ,Credit Card,None,1,2023,4
T00047,CUST018047,P057,2023-01-02,2023-01-02,2, $7.00 , $14.00 ,Cash,Mobile App,1,2023,4
T00048,CUST012725,P040,2023-01-02,2023-01-02,3, $6.50 , $19.50 ,Tap to Pay,Post Mail,1,2023,3
T00048,CUST038315,P043,2023-01-02,2023-01-02,3, $6.00 , $18.00 ,Cash,Social,1,2023,3
T00048,CUST026990,P012,2023-01-02,2023-01-02,3, $4.00 , $12.00 ,Credit Card,Email,1,2023,1
T00048,CUST033269,P013,2023-01-02,2023-01-02,2, $4.00 , $8.00 ,Tap to Pay,None,1,2023,1
T00048,CUST013368,P060,2023-01-02,2023-01-02,2, $7.00 , $14.00 ,Credit Card,Email,1,2023,4
T00049,CUST012914,P002,2023-01-02,2023-01-02,3, $4.50 , $13.50 ,Tap to Pay,Social,1,2023,1
T00049,CUST023013,P062,2023-01-02,2023-01-02,3, $7.00 , $21.00 ,Tap to Pay,Mobile App,1,2023,4
T00049,CUST033661,P006,2023-01-02,2023-01-02,1, $4.50 , $4.50 ,Cash,Email,1,2023,1
T00049,CUST037916,P061,2023-01-02,2023-01-02,1, $7.00 , $7.00 ,Credit Card,None,1,2023,4
T00050,CUST026385,P054,2023-01-02,2023-01-02,2, $7.50 , $15.00 ,Credit Card,None,1,2023,4
T00050,CUST029085,P056,2023-01-02,2023-01-02,2, $7.50 , $15.00 ,Tap to Pay,Post Mail,1,2023,4
T00051,CUST018823,P033,2023-01-02,2023-01-02,2, $6.50 , $13.00 ,Cash,Mobile App,1,2023,3
T00051,CUST030767,P058,2023-01-02,2023-01-02,2, $7.00 , $14.00 ,Tap to Pay,Mobile App,1,2023,4
T00051,CUST039286,P036,2023-01-02,2023-01-02,3, $6.50 , $19.50 ,Tap to Pay,Mobile App,1,2023,3
T00051,CUST020949,P036,2023-01-02,2023-01-02,1, $6.50 , $6.50 ,Credit Card,Social,1,2023,3
T00052,CUST033154,P020,2023-01-02,2023-01-02,1, $5.50 , $5.50 ,Credit Card,Social,1,2023,2
T00052,CUST026135,P006,2023-01-02,2023-01-02,1, $4.50 , $4.50 ,Credit Card,Social,1,2023,1
T00052,CUST033093,P004,2023-01-02,2023-01-02,3, $4.50 , $13.50 ,Credit Card,None,1,2023,1
T00053,CUST015107,P001,2023-01-02,2023-01-02,2, $4.50 , $9.00 ,Cash,Email,1,2023,1
T00053,CUST037503,P034,2023-01-02,2023-01-02,2, $6.50 , $13.00 ,Cash,Mobile App,1,2023,3
T00053,CUST016957,P044,2023-01-02,2023-01-02,1, $6.00 , $6.00 ,Tap to Pay,Social,1,2023,3
T00053,CUST012564,P063,2023-01-02,2023-01-02,1, $7.00 , $7.00 ,Tap to Pay,Post Mail,1,2023,4
T00053,CUST034670,P035,2023-01-02,2023-01-02,2, $6.50 , $13.00 ,Tap to Pay,Social,1,2023,3
T00054,CUST028427,P053,2023-01-03,2023-01-03,2, $7.50 , $15.00 ,Tap to Pay,None,1,2023,4
T00054,CUST012254,P014,2023-01-03,2023-01-03,2, $4.00 , $8.00 ,Credit Card,None,1,2023,1
T00054,CUST011187,P052,2023-01-03,2023-01-03,2, $7.50 , $15.00 ,Tap to Pay,None,1,2023,4
T00054,CUST022597,P027,2023-01-03,2023-01-03,2, $5.00 , $10.00 ,Cash,Social,1,2023,2
T00055,CUST026483,P063,2023-01-03,2023-01-03,2, $7.00 , $14.00 ,Credit Card,Post Mail,1,2023,4
T00055,CUST032667,P037,2023-01-03,2023-01-03,2, $6.50 , $13.00 ,Cash,Email,1,2023,3
T00055,CUST016201,P021,2023-01-03,2023-01-03,3, $5.50 , $16.50 ,Credit Card,None,1,2023,2
T00056,CUST015029,P028,2023-01-03,2023-01-03,3, $5.00 , $15.00 ,Credit Card,Mobile App,1,2023,2
T00056,CUST039551,P014,2023-01-03,2023-01-03,1, $4.00 , $4.00 ,Cash,None,1,2023,1
T00057,CUST034195,P019,2023-01-03,2023-01-03,2, $5.50 , $11.00 ,Credit Card,None,1,2023,2
T00057,CUST038073,P009,2023-01-03,2023-01-03,3, $4.00 , $12.00 ,Cash,Email,1,2023,1
T00058,CUST027766,P017,2023-01-03,2023-01-03,1, $5.50 , $5.50 ,Tap to Pay,Mobile App,1,2023,2
T00059,CUST026289,P063,2023-01-03,2023-01-03,3, $7.00 , $21.00 ,Cash,Email,1,2023,4
T00059,CUST025791,P055,2023-01-03,2023-01-03,2, $7.50 , $15.00 ,Cash,Social,1,2023,4
T00059,CUST037927,P064,2023-01-03,2023-01-03,2, $7.00 , $14.00 ,Credit Card,Post Mail,1,2023,4
T00059,CUST015137,P055,2023-01-03,2023-01-03,3, $7.50 , $22.50 ,Tap to Pay,None,1,2023,4
T00059,CUST030284,P039,2023-01-03,2023-01-03,2, $6.50 , $13.00 ,Credit Card,None,1,2023,3
T00060,CUST017875,P038,2023-01-03,2023-01-03,1, $6.50 , $6.50 ,Cash,Social,1,2023,3
T00061,CUST015852,P036,2023-01-03,2023-01-03,2, $6.50 , $13.00 ,Tap to Pay,Post Mail,1,2023,3
T00062,CUST022711,P007,2023-01-03,2023-01-03,1, $4.50 , $4.50 ,Tap to Pay,Mobile App,1,2023,1
T00062,CUST018192,P049,2023-01-03,2023-01-03,3, $7.50 , $22.50 ,Credit Card,Post Mail,1,2023,4
T00062,CUST024933,P035,2023-01-03,2023-01-03,3, $6.50 , $19.50 ,Cash,None,1,2023,3
T00063,CUST032229,P003,2023-01-03,2023-01-03,1, $4.50 , $4.50 ,Cash,None,1,2023,1
T00063,CUST021198,P021,2023-01-03,2023-01-03,3, $5.50 , $16.50 ,Credit Card,Mobile App,1,2023,2
T00063,CUST028321,P058,2023-01-03,2023-01-03,3, $7.00 , $21.00 ,Tap to Pay,Email,1,2023,4
T00064,CUST039879,P010,2023-01-03,2023-01-03,1, $4.00 , $4.00 ,Tap to Pay,Email,1,2023,1
T00064,CUST027765,P029,2023-01-03,2023-01-03,1, $5.00 , $5.00 ,Tap to Pay,Social,1,2023,2
T00064,CUST030458,P012,2023-01-03,2023-01-03,3, $4.00 , $12.00 ,Tap to Pay,Mobile App,1,2023,1
T00065,CUST020599,P046,2023-01-03,2023-01-03,1, $6.00 , $6.00 ,Tap to Pay,Mobile App,1,2023,3
T00065,CUST031351,P001,2023-01-03,2023-01-03,2, $4.50 , $9.00 ,Cash,Post Mail,1,2023,1
T00065,CUST026354,P027,2023-01-03,2023-01-03,1, $5.00 , $5.00 ,Tap to Pay,Email,1,2023,2
T00065,CUST019062,P036,2023-01-03,2023-01-03,3, $6.50 , $19.50 ,Tap to Pay,Email,1,2023,3
T00066,CUST022165,P026,2023-01-03,2023-01-03,2, $5.00 , $10.00 ,Tap to Pay,Email,1,2023,2
T00066,CUST010673,P049,2023-01-03,2023-01-03,3, $7.50 , $22.50 ,Credit Card,Email,1,2023,4
T00067,CUST018411,P032,2023-01-03,2023-01-03,2, $5.00 , $10.00 ,Credit Card,Mobile App,1,2023,2
T00068,CUST035632,P003,2023-01-03,2023-01-03,2, $4.50 , $9.00 ,Credit Card,Post Mail,1,2023,1
T00069,CUST039466,P061,2023-01-03,2023-01-03,2, $7.00 , $14.00 ,Tap to Pay,Email,1,2023,4
T00069,CUST032133,P007,2023-01-03,2023-01-03,3, $4.50 , $13.50 ,Cash,Email,1,2023,1
T00070,CUST010372,P024,2023-01-03,2023-01-03,2, $5.50 , $11.00 ,Credit Card,None,1,2023,2
T00070,CUST011712,P048,2023-01-03,2023-01-03,3, $6.00 , $18.00 ,Cash,Post Mail,1,2023,3
T00070,CUST032851,P013,2023-01-03,2023-01-03,2, $4.00 , $8.00 ,Cash,None,1,2023,1
T00071,CUST012047,P035,2023-01-03,2023-01-03,3, $6.50 , $19.50 ,Credit Card,Post Mail,1,2023,3
T00072,CUST010239,P037,2023-01-04,2023-01-04,1, $6.50 , $6.50 ,Tap to Pay,None,1,2023,3
T00072,CUST011334,P024,2023-01-04,2023-01-04,2, $5.50 , $11.00 ,Cash,None,1,2023,2
T00072,CUST032772,P009,2023-01-04,2023-01-04,1, $4.00 , $4.00 ,Tap to Pay,None,1,2023,1
T00072,CUST031034,P026,2023-01-04,2023-01-04,3, $5.00 , $15.00 ,Credit Card,Email,1,2023,2
T00072,CUST015413,P040,2023-01-04,2023-01-04,3, $6.50 , $19.50 ,Credit Card,None,1,2023,3
T00073,CUST012942,P038,2023-01-04,2023-01-04,1, $6.50 , $6.50 ,Cash,None,1,2023,3
T00073,CUST017918,P026,2023-01-04,2023-01-04,2, $5.00 , $10.00 ,Credit Card,Social,1,2023,2
T00074,CUST022330,P051,2023-01-04,2023-01-04,2, $7.50 , $15.00 ,Cash,Post Mail,1,2023,4
T00074,CUST014099,P002,2023-01-04,2023-01-04,3, $4.50 , $13.50 ,Tap to Pay,Social,1,2023,1
T00074,CUST038812,P002,2023-01-04,2023-01-04,1, $4.50 , $4.50 ,Credit Card,Mobile App,1,2023,1
T00074,CUST038023,P044,2023-01-04,2023-01-04,1, $6.00 , $6.00 ,Tap to Pay,None,1,2023,3
T00074,CUST019994,P009,2023-01-04,2023-01-04,1, $4.00 , $4.00 ,Tap to Pay,Email,1,2023,1
T00075,CUST031742,P019,2023-01-04,2023-01-04,2, $5.50 , $11.00 ,Tap to Pay,Social,1,2023,2
T00076,CUST022948,P056,2023-01-04,2023-01-04,3, $7.50 , $22.50 ,Credit Card,None,1,2023,4
T00076,CUST023870,P007,2023-01-04,2023-01-04,3, $4.50 , $13.50 ,Cash,None,1,2023,1
T00076,CUST034569,P006,2023-01-04,2023-01-04,1, $4.50 , $4.50 ,Credit Card,Mobile App,1,2023,1
T00077,CUST014363,P037,2023-01-04,2023-01-04,1, $6.50 , $6.50 ,Cash,None,1,2023,3
T00077,CUST011280,P025,2023-01-04,2023-01-04,1, $5.00 , $5.00 ,Tap to Pay,None,1,2023,2
T00078,CUST034784,P018,2023-01-04,2023-01-04,2, $5.50 , $11.00 ,Credit Card,Mobile App,1,2023,2
T00078,CUST024885,P048,2023-01-04,2023-01-04,2, $6.00 , $12.00 ,Cash,Mobile App,1,2023,3
T00078,CUST013411,P015,2023-01-04,2023-01-04,3, $4.00 , $12.00 ,Tap to Pay,Post Mail,1,2023,1
T00079,CUST024388,P015,2023-01-04,2023-01-04,1, $4.00 , $4.00 ,Credit Card,Mobile App,1,2023,1
T00079,CUST032915,P007,2023-01-04,2023-01-04,1, $4.50 , $4.50 ,Credit Card,Social,1,2023,1
T00079,CUST022030,P058,2023-01-04,2023-01-04,1, $7.00 , $7.00 ,Tap to Pay,Social,1,2023,4
T00079,CUST035715,P064,2023-01-04,2023-01-04,1, $7.00 , $7.00 ,Tap to Pay,Social,1,2023,4
